Tanggal,Indikator_Harga,Periode,Bulan,Minggu,Tahun,Data_Source,Last_Updated
2024-01-01,0.166,Januari '24,Januari '24,,,uploaded,2025-10-22 03:35:36.011331
2024-01-08,0.93,Januari,Januari,,,uploaded,2025-10-22 03:35:36.024330
2024-01-15,-1.6,Januari '24,Januari '24,,,uploaded,2025-10-22 03:35:36.028331
2024-01-22,-2.137,Januari '24,Januari '24,,,uploaded,2025-10-22 03:35:36.031336
2024-02-01,-2.694,Februari '24,Februari '24,,,uploaded,2025-10-22 03:35:36.033329
2024-02-08,-2.328,Februari '24,Februari '24,,,uploaded,2025-10-22 03:35:36.038331
2024-02-15,-1.962,Februari '24,Februari '24,,,uploaded,2025-10-22 03:35:36.041330
2024-02-22,0.355,Februari '24,Februari '24,,,uploaded,2025-10-22 03:35:36.045332
2024-02-29,1.492,Februari '24,Februari '24,,,uploaded,2025-10-22 03:35:36.047331
2024-03-01,-1.27,Maret,Maret,,,uploaded,2025-10-22 03:35:36.049329
2024-03-08,4.793,Maret'24,Maret'24,,,uploaded,2025-10-22 03:35:36.051333
2024-03-15,4.489,Maret'24,Maret'24,,,uploaded,2025-10-22 03:35:36.056338
2024-03-22,-0.83,Maret,Maret,,,uploaded,2025-10-22 03:35:36.059332
2024-03-29,-0.853,Maret,Maret,,,uploaded,2025-10-22 03:35:36.062345
2024-04-01,-1.786,April,April,,,uploaded,2025-10-22 03:35:36.066331
2024-04-08,-1.786,April,April,,,uploaded,2025-10-22 03:35:36.067331
2024-04-15,-3.38,April'24,April'24,,,uploaded,2025-10-22 03:35:36.069332
2024-04-22,-3.43,April'24,April'24,,,uploaded,2025-10-22 03:35:36.072329
2024-05-01,0.189,Mei,Mei,,,uploaded,2025-10-22 03:35:36.075331
2024-05-08,1.81,Mei'24,Mei'24,,,uploaded,2025-10-22 03:35:36.079327
2024-05-15,0.718,Mei,Mei,,,uploaded,2025-10-22 03:35:36.082325
2024-05-22,1.258,Mei,Mei,,,uploaded,2025-10-22 03:35:36.085326
2024-05-29,1.536,Mei,Mei,,,uploaded,2025-10-22 03:35:36.088328
2024-06-01,-2.15,Juni'24,Juni'24,,,uploaded,2025-10-22 03:35:36.090327
2024-06-08,1.649,Juni,Juni,,,uploaded,2025-10-22 03:35:36.092327
2024-06-15,-1.99,Juni'24,Juni'24,,,uploaded,2025-10-22 03:35:36.095331
2024-06-22,-2.0,Juni'24,Juni'24,,,uploaded,2025-10-22 03:35:36.097334
